Voltage,ROAMES_Conductor_Id,ROAMES_Span_Id,ROAMES_Bay_Id,Last_Capture_Timestamp,name,altitudeMode,WKT
415V,74095417,35506455,7498390,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095417,absolute,"LINESTRING Z (115.50594670836911 -28.538657004470206 297.130355920486, 115.50591420392901 -28.53865721796932 297.251860829353, 115.50588169948915 -28.538657431460646 297.390201867125, 115.50584919504954 -28.5386576449441 297.545382903119, 115.50581669061016 -28.53865785841985 297.717408277658, 115.50578418617103 -28.538658071887717 297.906282802193, 115.50575168173214 -28.53865828534789 298.112011759433, 115.50571917729349 -28.53865849880028 298.334600903498, 115.5056866728551 -28.53865871224477 298.574056460076, 115.50565416841691 -28.53865892568158 298.830385126601, 115.50562166397901 -28.5386591391106 299.103594072435)"
415V,74095418,35506455,7498390,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095418,absolute,"LINESTRING Z (115.50594540574193 -28.53865170845913 297.152655536005, 115.50591309255418 -28.538651873068176 297.230901071674, 115.50588077936675 -28.53865203766961 297.338092127582, 115.50584846617953 -28.538652202263265 297.474237678103, 115.50581615299264 -28.538652366849316 297.639349121775, 115.50578383980599 -28.53865253142766 297.833440282253, 115.50575152661959 -28.538652695998223 298.056527409463, 115.50571921343347 -28.538652860561182 298.308629180968, 115.50568690024761 -28.538653025116357 298.589766703528, 115.50565458706205 -28.538653189663922 298.899963514869, 115.50562227387672 -28.5386533542037 299.23924558565)"
415V,74095419,35506455,7498390,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095419,absolute,"LINESTRING Z (115.50594980311243 -28.538669589141413 297.211372478308, 115.50591686300254 -28.538669740459806 297.272943029576, 115.50588392289298 -28.538669891770294 297.362764686956, 115.50585098278368 -28.538670043072695 297.480844346194, 115.50581804267466 -28.538670194367096 297.627191072449, 115.50578510256595 -28.538670345653593 297.801816100985, 115.50575216245753 -28.538670496932 298.004732838036, 115.50571922234941 -28.538670648202494 298.235956861834, 115.50568628224154 -28.538670799464917 298.495505923805, 115.505653342134 -28.53867095071941 298.783399949932, 115.50562040202672 -28.538671101965832 299.099661042285)"
415V,74095420,35506455,7498390,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095420,absolute,"LINESTRING Z (115.50594864980854 -28.538664898991353 297.137544518231, 115.50591587451356 -28.538665050296206 297.210971486629, 115.50588309921885 -28.53866520159313 297.312411230528, 115.50585032392442 -28.538665352882138 297.441871482489, 115.50581754863028 -28.53866550416324 297.599362111023, 115.50578477333644 -28.538665655436414 297.784895121345, 115.50575199804288 -28.53866580670158 297.998484656286, 115.50571922274962 -28.538665957958923 298.240146997376, 115.50568644745663 -28.53866610920835 298.509900566079, 115.50565367216393 -28.538666260449855 298.807765925202, 115.5056208968715 -28.538666411683444 299.133765780461)"
415V,74095566,35506514,7498377,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095566,absolute,"LINESTRING Z (115.5062933365156 -28.53865375938014 297.448072116034, 115.5063271192469 -28.5386535988849 297.259472155268, 115.50636090197848 -28.538653438381345 297.090094300822, 115.50639468471037 -28.538653277869283 296.93993284294, 115.50642846744255 -28.5386531173489 296.808982719656, 115.50646225017505 -28.538652956820016 296.69723951662, 115.50649603290783 -28.53865279628281 296.604699466951, 115.50652981564092 -28.5386526357371 296.531359451109, 115.5065635983743 -28.538652475182985 296.477216996791, 115.506597381108 -28.538652314620546 296.442270278845, 115.50663116384197 -28.538652154049604 296.426518119213)"
415V,74095567,35506514,7498377,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095567,absolute,"LINESTRING Z (115.50629339240004 -28.538659138568413 297.440913527051, 115.5063271698767 -28.538658794010747 297.243860058027, 115.50636094735356 -28.538658449444736 297.069025795299, 115.50639472483059 -28.53865810487023 296.916402864221, 115.50642850230781 -28.53865776028731 296.78598439056, 115.50646227978523 -28.538657415695983 296.677764500185, 115.50649605726281 -28.53865707109633 296.591738318804, 115.50652983474058 -28.53865672648817 296.527901971743, 115.50656361221851 -28.538656381871593 296.486252583773, 115.50659738969667 -28.5386560372467 296.466788278979, 115.50663116717499 -28.5386556926133 296.469508180677)"
415V,74095568,35506514,7498377,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095568,absolute,"LINESTRING Z (115.50629346267067 -28.53866590371822 297.406464428775, 115.50632724004643 -28.538665295651956 297.227570879877, 115.5063610174222 -28.53866468757729 297.066681452347, 115.50639479479797 -28.538664079494104 296.923791387071, 115.50642857217379 -28.538663471402593 296.798896457356, 115.5064623495496 -28.538662863302655 296.691992968806, 115.50649612692541 -28.538662255194215 296.603077759212, 115.50652990430126 -28.538661647077443 296.532148198459, 115.50656368167711 -28.538661038952252 296.479202188449, 115.50659745905298 -28.53866043081864 296.444238163036, 115.50663123642887 -28.538659822676518 296.427255087984)"
415V,74095569,35506514,7498377,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095569,absolute,"LINESTRING Z (115.50629351923605 -28.538671348081827 297.377190891499, 115.50632730342748 -28.53867062905509 297.220684746748, 115.50636108761887 -28.53866991001992 297.07794074603, 115.50639487181017 -28.538669190976325 296.948956422194, 115.50642865600145 -28.538668471924396 296.833729545909, 115.50646244019265 -28.53866775286394 296.732258125624, 115.50649622438381 -28.538667033795075 296.644540407534, 115.50653000857491 -28.538666314717776 296.570574875548, 115.50656379276595 -28.538665595632146 296.510360251265, 115.50659757695693 -28.538664876537993 296.463895493952, 115.50663136114784 -28.53866415743542 296.431179800524)"
415V,74095820,35506614,7498383,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095820,absolute,"LINESTRING Z (115.50448311607649 -28.53865258587309 300.823763167582, 115.5045225367385 -28.53865253621417 300.775801535649, 115.50456195740104 -28.53865248654371 300.751444246855, 115.50460137806408 -28.538652436861888 300.750690389276, 115.50464079872762 -28.53865238716862 300.77353993469, 115.50468021939169 -28.538652337463816 300.819993738568, 115.50471964005625 -28.53865228774765 300.890053540112, 115.50475906072133 -28.538652238020024 300.983721962315, 115.5047984813869 -28.538652188280956 301.101002512065, 115.50483790205303 -28.53865213853035 301.24189958027, 115.50487732271965 -28.538652088768377 301.406418442027)"
415V,74095821,35506614,7498383,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095821,absolute,"LINESTRING Z (115.5044831345717 -28.538656868165276 300.83559780472, 115.50452257893302 -28.538656916341786 300.768726922374, 115.50456202329495 -28.538656964506913 300.72930743119, 115.50460146765745 -28.538657012660497 300.71733733766, 115.50464091202056 -28.53865706080262 300.732816036439, 115.50468035638423 -28.538657108933368 300.775744310307, 115.5047198007485 -28.538657157052565 300.846124330218, 115.50475924511335 -28.538657205160302 300.943959655402, 115.50479868947879 -28.538657253256666 301.069255233548, 115.5048381338448 -28.538657301341484 301.222017401056, 115.50487757821142 -28.538657349414834 301.402253883353)"
415V,74095822,35506614,7498383,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74095822,absolute,"LINESTRING Z (115.50448312736735 -28.538665038508622 300.797145454369, 115.50452261026507 -28.538665048721963 300.750507996266, 115.50456209316332 -28.538665058923822 300.727414773116, 115.50460157606216 -28.53866506911419 300.727864927425, 115.50464105896152 -28.538665079292993 300.751858475907, 115.50468054186148 -28.53866508946039 300.799396309489, 115.50472002476197 -28.53866509961631 300.870480193342, 115.50475950766302 -28.53866510976074 300.965112766945, 115.50479899056462 -28.538665119893594 301.083297544189, 115.50483847346682 -28.538665130015055 301.225038913499, 115.50487795636955 -28.538665140125033 301.390342138004)"
