Client_Pole_ID,ROAMES_Pole_ID,Last_Capture_Timestamp,name,altitudeMode,WKT
S485341,,Sep  3 2021  1:00AM,ROAMES Pole Id: 18598589,absolute,"LINESTRING Z (115.4674020076859 -28.344332805526633 223.41, 115.46740309755583 -28.344331500116304 233.34)"
S485347,,Sep  3 2021  1:00AM,ROAMES Pole Id: 18598604,absolute,"LINESTRING Z (115.46742124118 -28.35325506154475 235.99, 115.46742042003972 -28.353253987359487 246.192)"
S485345,,Sep  3 2021  1:00AM,ROAMES Pole Id: 18598610,absolute,"LINESTRING Z (115.4674109575083 -28.348649219702825 227.39, 115.46741192204472 -28.348648120461952 236.678)"
S485340,,Sep  3 2021  1:00AM,ROAMES Pole Id: 18598611,absolute,"LINESTRING Z (115.46740586088535 -28.346379857881463 223.61, 115.46740653066409 -28.346380813039563 233.202)"
S485354,,Sep  3 2021  1:00AM,ROAMES Pole Id: 18598710,absolute,"LINESTRING Z (115.46742507514695 -28.355827774872733 240.15, 115.46742687352334 -28.355826161555164 251.607)"
S485352,,Sep  3 2021  1:00AM,ROAMES Pole Id: 18598713,absolute,"LINESTRING Z (115.46742923998346 -28.35673812358835 242, 115.46742911825179 -28.356735234206493 253.016)"
S485346,,Sep  3 2021  1:00AM,ROAMES Pole Id: 18598725,absolute,"LINESTRING Z (115.46741842700693 -28.350999697565353 231.78, 115.46741650037355 -28.350998881706328 241.521)"
S485342,,Sep  3 2021  1:01AM,ROAMES Pole Id: 18598590,absolute,"LINESTRING Z (115.46739840517836 -28.341958371372147 224.62, 115.4673992895409 -28.34195858888653 234.886)"
S481306,,Sep  3 2021  1:01AM,ROAMES Pole Id: 18598652,absolute,"LINESTRING Z (115.46737532262912 -28.330453994224502 233.48, 115.46737896243896 -28.33046121005064 244.724)"
S481307,,Sep  3 2021  1:01AM,ROAMES Pole Id: 18598653,absolute,"LINESTRING Z (115.46738231597001 -28.332535408048738 230.35, 115.46738206563911 -28.332535793314307 240.444)"
S481308,,Sep  3 2021  1:01AM,ROAMES Pole Id: 18598661,absolute,"LINESTRING Z (115.46738526703254 -28.334902608832166 227.31, 115.46738420167812 -28.33490079184833 237.516)"
S485344,,Sep  3 2021  1:01AM,ROAMES Pole Id: 18598679,absolute,"LINESTRING Z (115.4673879753434 -28.337253858837048 224.64, 115.46738862029615 -28.337257250483685 234.572)"
S485343,,Sep  3 2021  1:01AM,ROAMES Pole Id: 18598680,absolute,"LINESTRING Z (115.46739166866334 -28.339584641292788 225.11, 115.46739293626364 -28.339585873920218 235.467)"
S481309,,Sep  3 2021  1:01AM,ROAMES Pole Id: 18598734,absolute,"LINESTRING Z (115.46973178088956 -28.33045260559164 231.49, 115.46973593023208 -28.33044918650585 242.188)"
S482805,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598583,absolute,"LINESTRING Z (115.49664351331278 -28.330429191130087 254.13, 115.49664178434739 -28.330432457228447 264.217)"
S482806,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598584,absolute,"LINESTRING Z (115.49942462681682 -28.33042534372754 256.65, 115.49942539403371 -28.330425911725843 267.023)"
S482799,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598593,absolute,"LINESTRING Z (115.48053966245517 -28.33044219790346 236.98, 115.48054207780912 -28.330445925098985 246.675)"
S482797,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598594,absolute,"LINESTRING Z (115.47780974725868 -28.330441547213344 234.47, 115.4778122211844 -28.330444020619503 244.55)"
S482807,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598598,absolute,"LINESTRING Z (115.50220569919149 -28.330423099751886 259.73, 115.50220427460222 -28.330424311531974 269.651)"
S482801,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598608,absolute,"LINESTRING Z (115.48586083153374 -28.330437680856416 243.09, 115.48586016652429 -28.330439261896007 252.904)"
S482803,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598609,absolute,"LINESTRING Z (115.48853356005262 -28.330436255138157 245.92, 115.48853444240193 -28.33043877389843 255.572)"
S482804,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598623,absolute,"LINESTRING Z (115.49122012779584 -28.330433657525965 248.76, 115.49121990356257 -28.33043870009335 258.677)"
S482812,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598624,absolute,"LINESTRING Z (115.47240746534209 -28.330451303635584 231.47, 115.4724103708138 -28.330451408371108 241.394)"
S482798,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598625,absolute,"LINESTRING Z (115.47513110905099 -28.330448030414814 232.73, 115.47513301724055 -28.33045083147261 243.055)"
S482796,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598651,absolute,"LINESTRING Z (115.49391992960904 -28.33043156821881 251.28, 115.49391990548828 -28.330435448760838 261.241)"
S482800,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598663,absolute,"LINESTRING Z (115.48323997660695 -28.330438737436154 239.93, 115.48324003492402 -28.330439658645876 249.893)"
S696801,,Sep  3 2021  1:05AM,ROAMES Pole Id: 18598681,absolute,"LINESTRING Z (115.47098138327709 -28.330448061604912 231.14, 115.47098599262198 -28.33044884429921 240.818)"
S482808,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598599,absolute,"LINESTRING Z (115.50504020329387 -28.330421411645897 262.5, 115.50504133920063 -28.330421875351735 272.723)"
S482841,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598654,absolute,"LINESTRING Z (115.53633474769792 -28.330388001877786 274.36, 115.53633475258626 -28.330386900851995 284.349)"
S482902,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598655,absolute,"LINESTRING Z (115.53904099189145 -28.33038381537983 272.22, 115.5390381663023 -28.330385319410645 282.348)"
S482795,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598662,absolute,"LINESTRING Z (115.50789224869737 -28.33041859293022 265.97, 115.50789358037895 -28.330420376428386 276.19)"
S482836,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598664,absolute,"LINESTRING Z (115.52377405956658 -28.330401016831328 275.07, 115.52377143600987 -28.330405600320557 285.557)"
S482837,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598665,absolute,"LINESTRING Z (115.52647235565226 -28.330398663540716 270, 115.52647207070633 -28.330399355404065 280.203)"
S482815,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598698,absolute,"LINESTRING Z (115.51642641886671 -28.330409142721614 276.6, 115.51642670601889 -28.330410499622413 287.024)"
S482839,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598700,absolute,"LINESTRING Z (115.53118429719959 -28.33039309662149 271.48, 115.5311851023304 -28.330395370620327 281.62)"
S482840,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598701,absolute,"LINESTRING Z (115.53379674530906 -28.33039139782287 269.76, 115.53379768245998 -28.33039148912199 279.977)"
S482838,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598702,absolute,"LINESTRING Z (115.52934861682662 -28.330395323478847 271.42, 115.52934960037732 -28.330396489309354 281.558)"
S482904,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598704,absolute,"LINESTRING Z (115.54173425760638 -28.33038227936959 271.43, 115.5417335613374 -28.33038396867271 280.582)"
S482809,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598732,absolute,"LINESTRING Z (115.51077743884943 -28.33041555290001 268.87, 115.510777478266 -28.330416383646316 278.881)"
S482814,,Sep  3 2021  1:06AM,ROAMES Pole Id: 18598733,absolute,"LINESTRING Z (115.51367148664252 -28.33041162773256 272.38, 115.51367230003372 -28.33041254813783 282.672)"
S482914,,Sep  3 2021  1:07AM,ROAMES Pole Id: 18598618,absolute,"LINESTRING Z (115.55512748546873 -28.330367187541395 292.85, 115.55512728681164 -28.330367546448315 302.474)"
S482916,,Sep  3 2021  1:07AM,ROAMES Pole Id: 18598619,absolute,"LINESTRING Z (115.55775758474549 -28.33036089334407 296.39, 115.55775534597572 -28.33036428123156 306.396)"
S482913,,Sep  3 2021  1:07AM,ROAMES Pole Id: 18598668,absolute,"LINESTRING Z (115.55275458253773 -28.330369742739652 289, 115.552754708177 -28.330372514829758 298.703)"
S482919,,Sep  3 2021  1:07AM,ROAMES Pole Id: 18598678,absolute,"LINESTRING Z (115.56040997566883 -28.330357400958125 290.51, 115.56041111958503 -28.330358802923037 300.697)"
S482907,,Sep  3 2021  1:07AM,ROAMES Pole Id: 18598695,absolute,"LINESTRING Z (115.54448861079135 -28.330377930365273 274.14, 115.54448917278742 -28.33038085151694 283.613)"
S482910,,Sep  3 2021  1:07AM,ROAMES Pole Id: 18598696,absolute,"LINESTRING Z (115.54719939380695 -28.33037561586441 278.33, 115.54720235348789 -28.33037549395349 288.463)"
S482912,,Sep  3 2021  1:07AM,ROAMES Pole Id: 18598740,absolute,"LINESTRING Z (115.54996083096974 -28.3303741378521 282.94, 115.54996414107653 -28.330376754260133 292.806)"
S481420,,Sep  3 2021  1:27AM,ROAMES Pole Id: 18598601,absolute,"LINESTRING Z (115.45263516038965 -28.317473084667427 226.39, 115.45263443641306 -28.31747378041228 236.648)"
S481403,,Sep  3 2021  1:27AM,ROAMES Pole Id: 18598615,absolute,"LINESTRING Z (115.46433491627877 -28.329801106841945 237.75, 115.46433497090234 -28.329800854754936 247.791)"
S481404,,Sep  3 2021  1:27AM,ROAMES Pole Id: 18598616,absolute,"LINESTRING Z (115.46342673179701 -28.32884209336104 237.48, 115.4634269818157 -28.32884243912961 247.448)"
S481405,,Sep  3 2021  1:27AM,ROAMES Pole Id: 18598617,absolute,"LINESTRING Z (115.4617494422195 -28.327077671722847 235.3, 115.46175009844936 -28.327079556335462 245.432)"
S481418,,Sep  3 2021  1:27AM,ROAMES Pole Id: 18598688,absolute,"LINESTRING Z (115.4545760616749 -28.319517757738296 229.68, 115.45457604193317 -28.31951771238942 239.792)"
S481417,,Sep  3 2021  1:27AM,ROAMES Pole Id: 18598689,absolute,"LINESTRING Z (115.4562820560189 -28.321314337787864 230.4, 115.45627986132463 -28.321313058474487 240.459)"
S481305,,Sep  3 2021  1:27AM,ROAMES Pole Id: 18598692,absolute,"LINESTRING Z (115.46495587957664 -28.33045551785383 236.41, 115.46495933891951 -28.330458246250284 247.438)"
S481406,,Sep  3 2021  1:27AM,ROAMES Pole Id: 18598723,absolute,"LINESTRING Z (115.45994126855173 -28.32517099832825 233.26, 115.4599424406873 -28.325171760639392 243.396)"
S481414,,Sep  3 2021  1:27AM,ROAMES Pole Id: 18598724,absolute,"LINESTRING Z (115.45812938198662 -28.323260289259995 231.28, 115.4581295775393 -28.32326440689789 241.592)"
S481436,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598581,absolute,"LINESTRING Z (115.43756521959179 -28.30158213057434 204.81, 115.43756699463295 -28.30158417249984 215.923)"
S481427,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598582,absolute,"LINESTRING Z (115.43944411349126 -28.303565279199447 208.34, 115.43944690130589 -28.303567801982567 218.502)"
S481439,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598595,absolute,"LINESTRING Z (115.4363920297144 -28.30035195999866 207.38, 115.4363920961043 -28.300345327356073 217.436)"
S481424,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598596,absolute,"LINESTRING Z (115.44506304334217 -28.30949036042998 215.91, 115.44506341709696 -28.309489904410693 226.067)"
S481423,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598597,absolute,"LINESTRING Z (115.44692986314564 -28.31145729067727 217.43, 115.446929268158 -28.311458935490563 227.562)"
S481421,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598600,absolute,"LINESTRING Z (115.45070342981657 -28.315434012918512 222.54, 115.45070297396595 -28.31543450412115 232.518)"
S481451,,Sep  3 2021  1:28AM,ROAMES Pole Id: 18598602,absolute,"LINESTRING Z (115.42866714001974 -28.29220628680463 225.97, 115.42866714001974 -28.29220628680463 235.397)"
